ID,Name,Description,ReleaseDate,DiscontinuedDate,Price,Height,Width,Depth,Quantity,UnitOfMeasure_ID,to_Orders_Email
28c142fa-01b0-421d-b01d-eeaa3291f6f0,Bread,Whole grain bread,2021-01-01T00:00:00Z,,2.5,5,10,8,20,PC,asalas@gmail.com
aa73322d-c998-4f0a-981a-8fb0ca92b756,Milk,Low fat milk,2021-10-01T00:00:00Z,,3.5,5,10,8,15,PK,ciperez02@gmail.com
dp002da1-ea98-4939-85e1-099167d67bf9,Vint soda,Americana Variety - Mix of 6 flavors,2022-10-01T00:00:00Z,,20.9,5,10,8,8,PC,mpareder23@gmail.com
d97de1ec-7fd1-4c56-8e15-0246dc7a0cbf,Havina Cola,The Original Key Lime Cola,2005-10-01T00:00:00Z,2006-10-01T00:00:00Z,19.9,5,10,8,10,PK,karivera90@gmail.com
9e029213-7b96-4393-1223-f25ahh89dfbc,Fruit Punch,"Mango flavor, 8.3 Ounce Cans (Pack of 24)",2003-01-05T00:00:00Z,,22.99,5,10,8,5,PC,ciperez02@gmail.com
de892923-7385-4c1c-8f4e-b3439a5ec637,Cranberry Juice,16-Ounce Plastic Bottles (Pack of 12),2006-08-04T00:00:00Z,,22.8,5,10,8,12,PC,patbolo22@gmail.com
09f86ef1-2983-0393-b1ce-d40661464c66,Pink Lemonade,36 Ounce Cans (Pack of 3),2006-11-05T00:00:00Z,,18.8,5,10,8,6,PK,asalas@gmail.com
5ee16f09-283c-4f1e-b455-398a1530b242,DVD Player,1080P Upconversion DVD Player,2006-11-15T00:00:00Z,,35.88,5,10,8,0,PC,mpareder23@gmail.com
98a8c519-2bb0-9288-84c3-d79de5a67ee0,LCD HDTV,42 inch 1080p LCD with Built-in Blu-ray Disc Player,2008-05-08T00:00:00Z,,1088.8,5,10,8,0,PK,giagod76@gmail.com
aa7d843f-c9c8-4bc9-846b-ddac07966f10,Lemonade,"Classic, refreshing lemonade (Single bottle)",1970-01-01T00:00:00Z,,1.01,5,10,8,7,PC,alebenav3@gmail.com
de411986-f74c-9829-98bc-2aa5c5a25aad,Coffee,Bulk size can of instant coffee,1982-12-31T00:00:00Z,,6.99,5,10,8,16,PK,cgarcia08@gmail.com
